Title,Type,Owner,VersionOneID,Tags,Description
KCE - Jama Requirement coverage,Epic,antti.luonsinen@kone.com,E-29194,,"KCE tests need to be linked to correct Jama requirements.


Inputs:


 


Acceptance Criteria:

"
CPUc performance testing (lift and group CPU),Epic,antti.luonsinen@kone.com,E-30762,,"Update 27.10.2021 - Group CPU% done for KCECPUc (http://10.0.154.34/cgi-bin/drraw/drraw.cgi?Mode=view;Graph=1625557317.16533). No simple solution available for the Lift CPU%.


 


 


 


Include CPU (lift and group) rate monitoring in KCE regression test runs, at least in the passim tests.


Meeting notes:


1. Antti do not have now performance testing
2. Antti environment:
	1. 6 * kce table simulator (P3)
	2. 6 * kce simulator (P4), on order
		1. 3 * iso
		2. 3 * table
	3. KCEDCS 8 * table (P4), on order
	4. No alarm phone installed
3. X, 16,X needs performance testing , ideas:
	1. Regression, test automation
	2. Test plan:
		1. Lift CPU %
		2. Group CPU %
	3. Traffic handling check
		1. KCECPU C
		2. KCEGC H
	4. Maintenance actions
		1. Software update , group process handless lift sw update
	5. Alarm phone needed
	6. Car connectivity needed
	7. Lift Resets, needs to be checked


Plan now : For start, Antti adds KCECPUC: group and lift utilization rates measurement in to 6 * kce table (P3) environment :  Collect D for group utilization  (Robert, Tuukka) and Lift CPU utilization ( Telemetry topic for robot : Ferenc + Arttu ) . CPU % Measurement will be done with under group traffic. Car connectivity, alarm phone and other functionality will be add later.


 


Acceptance Criteria:


Lift and Group CPU rate can be monitored in the regression tests.

"
KCE - PRL H* NA,Epic,antti.luonsinen@kone.com,E-32124,,"* **What is this about?**
	+ KCE Priority at Landings (PRL H*) support for North America needed for the following sub-codes:
		- PRL HA and
		- PRL HO.


Input:


<https://konerqm.jamacloud.com/perspective.req#/items/7803800?projectId=86>

"
KCE 15.4 ph2 - Personal Landing Call,Epic,antti.luonsinen@kone.com,E-33124,,"* **What is this about?**
	+ API landing call accepted even if “normal” landing call is already accepted
	+ Target to complete in Q1 (commitment in Q1 planning). Testing to be started, SW 15.4 OK (Ari Koivisto)
	+ Not yet in the SW 15.4 branch --> To be checked (cloud+device), cloud side has been contacted


PFI Integration testing could (maybe) test this, in our Site API test set. Study needed, is this valid.


 


Input:


https://confluence.kone.cbyte.fi/display/PFI/1.+Call+Giving#id-1.CallGiving-2Personallandingcalls


 


Acceptance Criteria:


Integration level tests included in the X-Team regression set

"
KCE 16.x - ATS HK,Epic,antti.luonsinen@kone.com,E-33125,,"* **ATS HK**
	+ ATS C proposed, but was not accepted by business (needed for certain government jobs). Private customers acceptable to use ATS C
	+ **To be implemented in SW15.5? Is there a real business need? Delivery volume small**
	+ Development effort estimate:
		- Lift
			* 180h (lead time 8weeks)
		- Group
			* Small
		- Signalization
			* Not needed, should be possible to do with IO configuration
		- Rellab
			* Possibility to do testing (test setup exists), not large testing impact
	+ Comments:
		- Signalization types
			* KDS needed, if A-process, then all signalization would be needed, but KDS priority (KNS also has priority over others)
		- Changes needed at least because ATS HK needs to include possibility to by-pass calls (by-passing done by attendant)
		- SW and COP change
		- ATS-HK, this feature is still required in government job, but not needed at DX launch


Tests for ATS HK in group environment.


Input:


 


Acceptance Criteria:


Tested included in the Regression set

"
KCE 15.5 - PVS group operation,Epic,antti.luonsinen@kone.com,E-33126,,"* **PVS (Penthouse Visitor Service) / penthouse group operation**: support for multiple penthouse floors / multiple PVS elevators inside group (related: KCE-SWBUG-823)
	+ Residential building, one penthouse in building, one lift --> supported
	+ Other scenarios are not supported
	+ Multiple penthouse in building


Automation tests needed for PFI Integration testing.


Input:


 


Acceptance Criteria:


PVS group operation tests running in regression set

"
KCE 15.5 - AGV,Epic,antti.luonsinen@kone.com,E-33127,,"AGV - Automatically Guided Vehicle Mode


**Status 11.4.2021**


Standardizing AGV (i.e. developing AGV to be A-process solution) is not simple. Idea has been to utilize API solution. Before any implementation there would need to be an overall design planned and agreed.


--> Postponed as potential item to Q3 / SW15.5


Input:


 


Acceptance Criteria:


AGV tests included in the PFI Integration regression tests

"
21Q3 OEO Test Development,Epic,antti.luonsinen@kone.com,E-33870,,"XTeams OEO related work

"
KCE - PRL MA,Epic,antti.luonsinen@kone.com,E-34360,,"Integration tests with group focus, for PRL MA

"
X-Team - LCE test development,Epic,antti.luonsinen@kone.com,E-35666,,"PFI Integration testing teams placeholder for unscheduled LCE test development work

"
X-Team - KCE test development,Epic,antti.luonsinen@kone.com,E-35667,,"Placeholder for KCE test development items that are not yet scheduled to any quarter (PFI Integration testing)

"
X-Team - Unscheduled swimlane,Epic,antti.luonsinen@kone.com,E-35686,,
ACS1000,Epic,antti.luonsinen@kone.com,E-38504,,"X-Teams OfficeFlow test development items

"
XDOP,Epic,antti.luonsinen@kone.com,E-38507,,"X-Teams OfficeFlow test development items

"
